'''
Please cite this paper
Li, J., Zhang, G., Zhang, S. et al. Seismicity characteristics and interseismic 
locking of the Anninghe Fault, Southwest China: Insights from long-term dense 
seismic array observations. Earth Planets Space 77, 63 (2025). 
https://doi.org/10.1186/s40623-025-02167-z
'''
ot,lat,lon,dep,mag,dt_max,num_sta,ex,ey,ez,rms,evid
2008-12-24T15:03:30.340000Z,29.238298,102.324772,19.03,0.2,325.5,5,202.5,362.9,162.4,0.120,166
2008-12-24T22:15:07.760000Z,29.814998,101.992668,10.0,0.5,104.6,6,197.1,175.8,326.0,0.116,164
2008-12-25T17:23:32.300000Z,30.18586,102.143896,29.69,1.6,138.8,7,149.7,138.9,427.2,0.123,159
2008-12-25T21:03:58.500000Z,29.332414,102.589836,3.99,0.3,230.4,3,128.8,90.2,85.3,0.042,158
2008-12-26T04:20:00.750000Z,29.114032,102.405721,12.76,0.0,262.3,6,377.7,406.5,466.1,0.136,156
2008-12-26T15:01:52.580000Z,30.050968,102.3052,16.33,1.4,147.7,4,227.0,235.6,284.9,0.145,155
2008-12-27T00:22:59.810000Z,29.071733,102.420101,20.09,0.9,260.1,9,185.2,229.6,244.1,0.095,153
2008-12-27T03:04:34.400000Z,29.382721,102.629891,4.3,0.6,180.0,3,216.5,213.4,261.5,0.092,154
2008-12-27T06:00:54.020000Z,29.19623,102.293197,6.73,1.2,159.0,8,163.5,224.6,192.9,0.115,152
2008-12-27T10:03:10.440000Z,29.377576,102.612443,3.84,0.3,283.5,3,192.8,172.1,253.2,0.067,157
2008-12-28T06:15:19.870000Z,29.227936,102.250594,9.1,0.0,338.3,4,167.4,199.8,118.4,0.084,146
2008-12-28T06:17:11.490000Z,28.972624,102.430754,16.16,0.5,224.0,7,211.3,257.6,438.2,0.158,149
2008-12-28T10:23:22.660000Z,29.227535,102.231551,8.3,0.8,168.9,8,127.3,225.3,141.0,0.098,148
2008-12-28T14:06:23.020000Z,30.236558,101.664242,28.74,1.0,214.4,3,90.1,190.2,152.3,0.097,151
2008-12-29T01:16:59.580000Z,29.023448,102.383285,23.32,0.6,195.4,9,177.7,136.2,158.7,0.103,150
2008-12-29T02:21:11.870000Z,28.956193,102.248926,5.6,0.2,203.9,8,218.0,373.0,600.0,0.136,145
2008-12-29T13:10:10.450000Z,29.292544,102.53606,2.55,0.2,98.1,7,111.6,105.1,109.1,0.095,147
2008-12-30T14:11:48.420000Z,27.36886,102.689844,11.59,1.7,232.2,6,203.9,169.7,264.3,0.159,138
2008-12-31T00:08:02.490000Z,29.361387,102.637996,4.88,0.5,278.8,3,226.6,184.7,243.9,0.079,141
2008-12-31T10:09:40.180000Z,29.356883,102.64305,2.58,0.3,278.2,3,184.0,183.2,244.9,0.112,140
2008-12-31T21:09:45.140000Z,29.382715,102.613713,4.69,0.5,287.2,3,196.3,172.4,250.1,0.073,139
2009-01-01T03:17:30.790000Z,29.003837,102.497542,21.42,0.8,264.9,9,195.6,149.2,177.4,0.093,347
2009-01-01T08:03:03.430000Z,29.331543,102.590828,5.16,0.4,229.2,5,118.2,150.8,107.0,0.092,135
2009-01-02T09:23:37.610000Z,29.017352,102.429704,21.66,2.7,143.1,12,162.4,140.3,157.7,0.094,348
2009-01-02T15:19:05.880000Z,29.092112,102.346265,25.92,0.7,322.3,4,159.5,181.3,185.9,0.062,343
2009-01-02T18:15:05.380000Z,29.087447,102.397437,20.18,0.2,316.5,5,399.7,614.9,660.1,0.155,344
2009-01-02T18:22:56.880000Z,29.020408,102.428931,22.35,0.4,318.9,4,289.2,346.6,418.1,0.103,346
2009-01-02T21:05:04.280000Z,29.270465,102.287809,15.21,1.1,188.9,8,182.2,355.0,227.9,0.112,345
2009-01-03T03:16:43.360000Z,28.164197,101.778467,4.29,2.1,53.9,17,260.1,349.0,677.5,0.166,340
2009-01-03T19:21:41.620000Z,29.110931,102.403573,25.0,1.9,156.9,13,136.5,222.5,214.2,0.105,342
2009-01-04T06:05:55.870000Z,27.201756,102.612915,12.24,0.7,172.9,4,214.0,206.3,271.8,0.140,339
2009-01-04T08:20:39.010000Z,29.291325,102.273242,9.52,0.8,112.0,10,281.6,291.0,268.4,0.147,337
2009-01-05T00:04:33.850000Z,27.62418,101.837939,17.94,1.0,156.0,4,222.4,250.6,288.4,0.132,336
2009-01-05T01:15:28.560000Z,27.374371,102.720483,8.38,0.7,299.8,3,490.8,342.7,488.5,0.177,341
2009-01-05T11:10:10.710000Z,29.378143,102.65332,2.96,0.3,294.3,3,215.8,237.5,278.7,0.075,338
2009-01-06T00:17:37.950000Z,28.990204,102.422575,14.0,1.0,277.8,8,230.8,228.8,325.8,0.105,330
2009-01-06T01:04:33.440000Z,27.92627,102.093726,6.85,0.7,242.5,3,268.2,376.0,382.3,0.084,332
2009-01-06T03:04:28.410000Z,27.919625,102.10743,6.57,0.7,240.5,3,310.7,446.7,498.1,0.142,331
2009-01-06T09:15:29.480000Z,29.229679,102.282878,4.5,0.3,164.3,7,170.3,276.3,196.2,0.095,334
2009-01-08T01:02:19.080000Z,29.292664,102.2802,12.03,1.0,108.8,7,362.0,319.0,367.6,0.134,333
2009-01-08T04:14:31.770000Z,29.952718,102.385449,4.3,0.9,142.9,6,188.9,152.6,479.5,0.127,329
2009-01-08T05:06:32.260000Z,29.002767,102.428817,16.03,0.7,201.4,8,206.7,287.3,378.9,0.107,326
2009-01-08T09:11:04.150000Z,28.938951,102.423478,18.47,0.6,226.7,5,381.6,178.8,259.4,0.044,324
